id,time_left,unit_price,quantity,buyout,bid,item
1199196971,SHORT,,1,1650000,,"{'id': 10255, 'context': 1, 'bonus_lists': [6654, 1705], 'modifiers': [{'type': 9, 'value': 30}, {'type': 28, 'value': 205}]}"
1199196979,SHORT,,1,15145600,,"{'id': 4690, 'context': 1, 'modifiers': [{'type': 28, 'value': 202}]}"
1199199134,SHORT,15100,11,,,{'id': 76563}
1199199142,SHORT,,1,1205009500,,"{'id': 159840, 'context': 54, 'bonus_lists': [1472, 4786]}"
1199199166,SHORT,78000,10000,,,{'id': 152577}
1199199197,SHORT,206600,1,,,{'id': 76629}
1199199205,SHORT,,1,500009200,,"{'id': 23540, 'context': 1}"
1199199222,SHORT,,1,472500000,,"{'id': 163575, 'context': 0}"
1199199236,SHORT,,1,750000000,,"{'id': 184793, 'context': 2, 'bonus_lists': [6652, 1472, 6646], 'modifiers': [{'type': 28, 'value': 748}]}"
1199199238,SHORT,,1,472500000,,"{'id': 163575, 'context': 0}"
1199199265,SHORT,,1,125000000,100000000,"{'id': 182719, 'context': 28, 'bonus_lists': [6652, 1520, 5891, 6646]}"
1199199273,SHORT,206600,1,,,{'id': 76629}
1199199293,SHORT,,1,2000000,,"{'id': 82800, 'context': 0, 'modifiers': [{'type': 6, 'value': 98459}], 'pet_breed_id': 5, 'pet_level': 1, 'pet_quality_id': 2, 'pet_species_id': 3022}"
1199199319,SHORT,30000,5,,,{'id': 172054}
1199199331,SHORT,1000,8,,,{'id': 174353}
1199199342,SHORT,206600,1,,,{'id': 76629}
1199199415,SHORT,206600,1,,,{'id': 76629}
1199199458,SHORT,206600,1,,,{'id': 76629}
1199200010,SHORT,,1,67624900,,"{'id': 78885, 'context': 0, 'modifiers': [{'type': 28, 'value': 1030}]}"
1199200060,SHORT,80000,2,,,{'id': 173126}
1199200077,SHORT,,1,6121900,,"{'id': 24883, 'context': 22, 'bonus_lists': [6654, 1693], 'modifiers': [{'type': 9, 'value': 30}, {'type': 28, 'value': 1075}]}"
1199200091,SHORT,1545100,40,,,{'id': 42546}
1199201192,SHORT,150000,39,,,{'id': 76509}
1199201207,SHORT,200000,35,,,{'id': 76502}
1199201216,SHORT,506600,3,,,{'id': 76570}
1199201236,SHORT,205100,21,,,{'id': 76567}
1199201247,SHORT,506600,1,,,{'id': 76633}
1199201599,SHORT,,1,440000,,"{'id': 177787, 'context': 0, 'bonus_lists': [6907, 6652, 7193, 1710], 'modifiers': [{'type': 9, 'value': 60}, {'type': 28, 'value': 2060}]}"
1199201604,SHORT,,1,7579100,,"{'id': 176961, 'context': 17, 'bonus_lists': [6907, 6652, 7193, 1703], 'modifiers': [{'type': 9, 'value': 59}, {'type': 28, 'value': 747}]}"
1199201610,SHORT,,1,480000,,"{'id': 176795, 'context': 23, 'bonus_lists': [6908, 6652, 1679], 'modifiers': [{'type': 9, 'value': 60}, {'type': 28, 'value': 749}]}"
1199201623,SHORT,,1,11061700,,"{'id': 176798, 'context': 23, 'bonus_lists': [6908, 6652, 1707], 'modifiers': [{'type': 9, 'value': 60}, {'type': 28, 'value': 749}]}"
1199201650,SHORT,,1,1000000,,"{'id': 177770, 'context': 0, 'bonus_lists': [6907, 6652, 7194, 1708], 'modifiers': [{'type': 9, 'value': 60}, {'type': 28, 'value': 2060}]}"
1199201726,SHORT,506600,6,,,{'id': 76592}
1199201737,SHORT,500000,1,,,{'id': 76617}
1199201749,SHORT,150200,3,,,{'id': 76551}
1199201754,SHORT,506600,1,,,{'id': 76614}
1199201762,SHORT,506600,4,,,{'id': 76615}
1199201778,SHORT,155100,40,,,{'id': 76526}
1199201786,SHORT,205100,20,,,{'id': 76567}
1199201804,SHORT,155100,18,,,{'id': 76563}
1199201826,SHORT,55100,17,,,{'id': 76549}
1199201840,SHORT,150000,15,,,{'id': 76548}
1199201866,SHORT,51000,70,,,{'id': 76135}
1199201886,SHORT,68000,216,,,{'id': 90407}
1199204686,SHORT,448000,5,,,{'id': 140587}
1199209500,SHORT,4500,2229,,,{'id': 2589}
1199209773,SHORT,4500,2673,,,{'id': 14047}
1199209858,SHORT,679900,1,,,{'id': 173204}
1199209859,SHORT,,1,1500000,,"{'id': 31308, 'context': 0, 'bonus_lists': [6659], 'modifiers': [{'type': 9, 'value': 30}, {'type': 28, 'value': 1012}]}"
1199209864,SHORT,759900,4,,,{'id': 172231}
1199209870,SHORT,390000,4,,,{'id': 22577}
1199209873,SHORT,,1,1500000,,"{'id': 71027, 'context': 3, 'modifiers': [{'type': 28, 'value': 1029}]}"
1199209875,SHORT,1200,20,,,{'id': 21877}
1199209883,SHORT,,1,1500000,,"{'id': 31308, 'context': 3, 'bonus_lists': [6659], 'modifiers': [{'type': 9, 'value': 30}, {'type': 28, 'value': 1014}]}"
1199209885,SHORT,150500,1,,,{'id': 33461}
1199209895,SHORT,,1,1500000,,"{'id': 13008, 'context': 0, 'bonus_lists': [6658], 'modifiers': [{'type': 9, 'value': 30}, {'type': 28, 'value': 1004}]}"
1199209914,SHORT,,1,800000,,"{'id': 10281, 'context': 0, 'bonus_lists': [6654, 1694], 'modifiers': [{'type': 9, 'value': 35}, {'type': 28, 'value': 1788}]}"
1199209927,SHORT,,1,700000,,"{'id': 151239, 'context': 13, 'bonus_lists': [6844]}"
1199209928,SHORT,,1,700000,,"{'id': 151239, 'context': 13, 'bonus_lists': [6844]}"
1199209932,SHORT,,1,500000,,"{'id': 9883, 'context': 0, 'bonus_lists': [6654, 1681], 'modifiers': [{'type': 9, 'value': 34}, {'type': 28, 'value': 1788}]}"
1199209937,SHORT,25000,13,,,{'id': 171436}
1199209955,MEDIUM,3132000,39,,,{'id': 22457}
1199209958,MEDIUM,7664400,34,,,{'id': 21885}
1199209960,MEDIUM,220700,8,,,{'id': 22575}
1199209962,MEDIUM,2450000,43,,,{'id': 21886}
1199209966,MEDIUM,65000000,2,,,{'id': 23786}
1199209968,MEDIUM,3030000,34,,,{'id': 22456}
1199209971,MEDIUM,1233900,8,,,{'id': 22578}
1199209972,MEDIUM,150000,3,,,{'id': 2677}
1199209975,MEDIUM,900000,80,,,{'id': 22452}
1199209976,MEDIUM,360000,4,,,{'id': 22576}
1199209978,MEDIUM,390000,8,,,{'id': 22577}
1199209980,MEDIUM,,1,145785800,,"{'id': 24303, 'context': 0, 'modifiers': [{'type': 28, 'value': 1012}]}"
1199209993,MEDIUM,,1,67300000,,"{'id': 82800, 'context': 0, 'modifiers': [{'type': 6, 'value': 46922}], 'pet_breed_id': 6, 'pet_level': 1, 'pet_quality_id': 3, 'pet_species_id': 1155}"
1199209997,MEDIUM,,1,67300000,,"{'id': 82800, 'context': 0, 'modifiers': [{'type': 6, 'value': 46922}], 'pet_breed_id': 6, 'pet_level': 1, 'pet_quality_id': 3, 'pet_species_id': 1155}"
1199209999,MEDIUM,,1,67300000,,"{'id': 82800, 'context': 0, 'modifiers': [{'type': 6, 'value': 46922}], 'pet_breed_id': 6, 'pet_level': 1, 'pet_quality_id': 3, 'pet_species_id': 1155}"
1199210002,MEDIUM,6051100,12,,,{'id': 22451}
1199210006,MEDIUM,4400000,11,,,{'id': 23426}
1199210007,MEDIUM,,1,19994500,,"{'id': 82800, 'context': 0, 'modifiers': [{'type': 6, 'value': 46909}], 'pet_breed_id': 18, 'pet_level': 1, 'pet_quality_id': 3, 'pet_species_id': 1156}"
1199210008,MEDIUM,,1,99999900,,"{'id': 31322, 'context': 0, 'bonus_lists': [6661], 'modifiers': [{'type': 9, 'value': 30}, {'type': 28, 'value': 1012}]}"
1199210009,MEDIUM,,1,19994500,,"{'id': 82800, 'context': 0, 'modifiers': [{'type': 6, 'value': 46909}], 'pet_breed_id': 18, 'pet_level': 1, 'pet_quality_id': 3, 'pet_species_id': 1156}"
1199210011,MEDIUM,,1,1500000,,"{'id': 13123, 'context': 0}"
1199210013,MEDIUM,,1,19994500,,"{'id': 82800, 'context': 0, 'modifiers': [{'type': 6, 'value': 46909}], 'pet_breed_id': 18, 'pet_level': 1, 'pet_quality_id': 3, 'pet_species_id': 1156}"
1199210014,MEDIUM,,1,19994500,,"{'id': 82800, 'context': 0, 'modifiers': [{'type': 6, 'value': 46909}], 'pet_breed_id': 18, 'pet_level': 1, 'pet_quality_id': 3, 'pet_species_id': 1156}"
1199210019,MEDIUM,,1,49649600,,"{'id': 82800, 'context': 0, 'modifiers': [{'type': 6, 'value': 90878}], 'pet_breed_id': 7, 'pet_level': 1, 'pet_quality_id': 3, 'pet_species_id': 2717}"
1199210022,MEDIUM,70000,6,,,{'id': 22573}
1199210035,MEDIUM,,1,19994500,,"{'id': 82800, 'context': 0, 'modifiers': [{'type': 6, 'value': 46909}], 'pet_breed_id': 18, 'pet_level': 1, 'pet_quality_id': 3, 'pet_species_id': 1156}"
1199210036,MEDIUM,,1,19994500,,"{'id': 82800, 'context': 0, 'modifiers': [{'type': 6, 'value': 46909}], 'pet_breed_id': 18, 'pet_level': 1, 'pet_quality_id': 3, 'pet_species_id': 1156}"
1199210042,MEDIUM,,1,399990000,,"{'id': 82800, 'context': 0, 'modifiers': [{'type': 6, 'value': 5448}], 'pet_breed_id': 7, 'pet_level': 1, 'pet_quality_id': 2, 'pet_species_id': 42}"
1199210047,MEDIUM,,1,7500000,,"{'id': 82800, 'context': 0, 'modifiers': [{'type': 6, 'value': 74801}], 'pet_breed_id': 11, 'pet_level': 1, 'pet_quality_id': 3, 'pet_species_id': 2715}"
1199210049,MEDIUM,,1,6999800,,"{'id': 82800, 'context': 0, 'modifiers': [{'type': 6, 'value': 95141}], 'pet_breed_id': 8, 'pet_level': 1, 'pet_quality_id': 3, 'pet_species_id': 2832}"
1199210058,MEDIUM,,1,151874400,,"{'id': 82800, 'context': 0, 'modifiers': [{'type': 6, 'value': 88468}], 'pet_breed_id': 5, 'pet_level': 1, 'pet_quality_id': 2, 'pet_species_id': 2415}"
1199210065,MEDIUM,,1,146000000,,"{'id': 82800, 'context': 0, 'modifiers': [{'type': 6, 'value': 92162}], 'pet_breed_id': 18, 'pet_level': 1, 'pet_quality_id': 2, 'pet_species_id': 2710}"
1199212122,MEDIUM,5000,2435,,,{'id': 2592}
1199212124,MEDIUM,,1,3500000,,"{'id': 82800, 'context': 0, 'pet_breed_id': 3, 'pet_level': 1, 'pet_quality_id': 3, 'pet_species_id': 1952}"
1199212133,MEDIUM,,1,30007000,,"{'id': 82800, 'context': 0, 'modifiers': [{'type': 6, 'value': 81665}], 'pet_breed_id': 11, 'pet_level': 1, 'pet_quality_id': 3, 'pet_species_id': 2546}"
1199212135,MEDIUM,,1,30007000,,"{'id': 82800, 'context': 0, 'modifiers': [{'type': 6, 'value': 81665}], 'pet_breed_id': 11, 'pet_level': 1, 'pet_quality_id': 3, 'pet_species_id': 2546}"
1199212138,MEDIUM,10000,20,,,{'id': 109222}
1199212149,MEDIUM,,1,19723000,,"{'id': 82800, 'context': 0, 'modifiers': [{'type': 6, 'value': 59766}], 'pet_breed_id': 11, 'pet_level': 1, 'pet_quality_id': 3, 'pet_species_id': 1954}"
1199212150,MEDIUM,10000,14,,,{'id': 109222}
1199212151,MEDIUM,,1,19723000,,"{'id': 82800, 'context': 0, 'modifiers': [{'type': 6, 'value': 59766}], 'pet_breed_id': 11, 'pet_level': 1, 'pet_quality_id': 3, 'pet_species_id': 1954}"
1199212153,MEDIUM,,1,19723000,,"{'id': 82800, 'context': 0, 'modifiers': [{'type': 6, 'value': 59766}], 'pet_breed_id': 11, 'pet_level': 1, 'pet_quality_id': 3, 'pet_species_id': 1954}"
1199212172,MEDIUM,10000,20,,,{'id': 34721}
1199212184,MEDIUM,,1,500000,,"{'id': 4562, 'context': 0, 'bonus_lists': [6655, 1693], 'modifiers': [{'type': 9, 'value': 30}, {'type': 28, 'value': 6}]}"
1199212185,MEDIUM,,1,19723000,,"{'id': 82800, 'context': 0, 'modifiers': [{'type': 6, 'value': 59766}], 'pet_breed_id': 11, 'pet_level': 1, 'pet_quality_id': 3, 'pet_species_id': 1954}"
1199212187,MEDIUM,,1,19723000,,"{'id': 82800, 'context': 0, 'modifiers': [{'type': 6, 'value': 59766}], 'pet_breed_id': 11, 'pet_level': 1, 'pet_quality_id': 3, 'pet_species_id': 1954}"
1199212194,MEDIUM,,1,10004800,,"{'id': 82800, 'context': 0, 'modifiers': [{'type': 6, 'value': 71938}], 'pet_breed_id': 9, 'pet_level': 1, 'pet_quality_id': 3, 'pet_species_id': 1926}"
1199212201,MEDIUM,,1,500000,,"{'id': 4577, 'context': 0, 'bonus_lists': [6655], 'modifiers': [{'type': 9, 'value': 25}, {'type': 28, 'value': 1793}]}"
1199212207,MEDIUM,,1,54990000,,"{'id': 82800, 'context': 0, 'modifiers': [{'type': 6, 'value': 88025}], 'pet_breed_id': 5, 'pet_level': 1, 'pet_quality_id': 3, 'pet_species_id': 2462}"
1199212214,MEDIUM,,1,236000000,,"{'id': 82800, 'context': 0, 'modifiers': [{'type': 6, 'value': 68666}], 'pet_breed_id': 6, 'pet_level': 1, 'pet_quality_id': 3, 'pet_species_id': 1886}"
1199212219,MEDIUM,,1,32274900,,"{'id': 82800, 'context': 0, 'modifiers': [{'type': 6, 'value': 36901}], 'pet_breed_id': 3, 'pet_level': 1, 'pet_quality_id': 2, 'pet_species_id': 292}"
1199212226,MEDIUM,,1,216000000,,"{'id': 82800, 'context': 0, 'modifiers': [{'type': 6, 'value': 83052}], 'pet_breed_id': 16, 'pet_level': 1, 'pet_quality_id': 2, 'pet_species_id': 2429}"
1199212233,MEDIUM,,1,3360000,,"{'id': 127748, 'context': 31}"
1199212254,MEDIUM,500,24,,,{'id': 1288}
1199212258,MEDIUM,,1,3360000,,"{'id': 127748, 'context': 31, 'modifiers': [{'type': 28, 'value': 176}]}"
1199212265,MEDIUM,,1,500000,,"{'id': 14167, 'context': 0, 'bonus_lists': [6654, 1691], 'modifiers': [{'type': 9, 'value': 25}, {'type': 28, 'value': 1793}]}"
